Gene,Log2FC_B1,stat_B1,pval_B1,Log2FC_B2,stat_B2,pval_B2,significance
AHCTF1P1,0.32492080437469595,2.1357940201458563,0.03269620676643423,0.10519923949635242,0.383960157460486,0.7010079779937357,Both_up
AHCY,0.201469348686072,2.1244074863761506,0.03363608453645701,0.052218429745323404,0.20730865246190516,0.8357688172413826,Both_up
AHI1,0.2028571221073002,2.6911404722857766,0.007120820454024686,0.19519796268804618,1.6789006662876869,0.09317140467842533,Both_up
AK9,0.310932268428599,3.254586866364407,0.001135574259867361,0.16890112973007898,1.2396544974498809,0.2151032141295659,Both_up
AKIRIN1P1,0.7152640297808626,2.4897589583063726,0.012782975714884908,0.40227731530955674,0.5161078322218952,0.6057790979827311,Both_up
AKIRIN2P1,1.1006335729247971,2.351790026111915,0.01868331819700103,0.5643030798164195,0.2676905172198758,0.7889375496771819,Both_up
AKR1C1,-0.3815358928918996,-2.997134830251101,0.0027253014834453695,-0.07054190910788449,-0.26959799021141323,0.7874695466913231,Both_down
AKR1C8,0.2532487964204059,2.19295117051727,0.028310897370509302,0.572780733445866,1.7066536684948135,0.0878864435428498,Both_up
AKR7A2P1,-0.5159264240864814,-2.7602466044756686,0.005775774486504837,-0.9074827073529802,-2.0912521166224467,0.03650546971024988,Both_down
AKR7L,0.41985001396408184,2.7943995228250365,0.005199619610121409,0.5924757148435488,1.842189726422664,0.06544740267167418,Both_up
ALAS2,-0.8878164658364737,-2.9808669053694556,0.0028743368577063247,-0.725945330048745,-1.3665119090537192,0.17177834553537316,Both_down
ALDH7A1P4,0.9055277429544535,2.1882162450289933,0.028653854336117113,0.024136440441369506,0.021033141075439733,0.9832192187632645,Both_up
ALDH8A1,0.47625426803103244,2.6941494604085454,0.00705685125659862,0.34665494657185253,1.1789826725640726,0.2384050756134425,Both_up
ALG14,0.19623391222771955,2.4574962002993614,0.01399092907717808,0.021195570934356533,0.18879531416768136,0.8502532445522164,Both_up
ALKBH5,-0.15376063957833688,-2.321230362984679,0.020274414295823433,-0.18063095592274425,-1.2636395640101474,0.20635942623073314,Both_down
ALMS1-IT1,0.3627902609612367,2.35466320696116,0.0185395003627747,0.029300888623121107,0.15976650797424571,0.8730650078944517,Both_up
ALMS1P1,0.3265720763163157,2.0067558217298633,0.044775668994985786,0.6143304021838648,1.7636506233514055,0.07779081904405512,Both_up
ALX1,0.3650410626320104,1.9934429654045323,0.046212963055595115,1.1637237730803833,0.9486551142093234,0.3427960499718951,Both_up
AMBP,0.3400407148859821,2.1073840340495136,0.03508430442461484,1.0072691965020215,2.7948268773773224,0.0051927514845116415,Both_up
AMDHD1,0.4522565477597776,2.739242998149827,0.006158083966909492,0.4978427737837237,0.9913574643530493,0.32151106248341754,Both_up
AMH,-0.6651516234741749,-2.495561009302348,0.012575812736955013,-0.5902519193079219,-1.380816851255267,0.16733528085764454,Both_down
AMOT,0.19580420488009892,2.2429599434266327,0.02489939768597521,0.08364096547383826,0.48365431252797175,0.6286312224652688,Both_up
ANKDD1A,-0.22688948969551154,-2.206248432468374,0.027366609841103597,-0.15237926018740464,-0.9173463031453468,0.35896120105378565,Both_down
ANKRD18A,0.406422372087761,2.762373024620826,0.005738287677498,0.01614701850353405,0.044342904994643814,0.9646310720505074,Both_up
ANKRD18CP,0.5052685567342952,2.415604763087447,0.01570910270926701,0.1631657883448425,0.3714646422201004,0.7102914864377724,Both_up
ANKRD20A8P,0.6383729132445141,3.051588363000248,0.0022763403650145246,0.559089743286248,0.8496467456810008,0.3955215144534814,Both_up
ANKRD24,0.2716129135580523,2.2703462819915217,0.023186581014419054,0.37362999974269834,1.2360101193966047,0.21645480220166854,Both_up
ANKRD26,0.2054517070096091,2.357202732544346,0.018413191227660445,0.20059462756298788,1.2767047050073497,0.20170651974587597,Both_up
ANKRD26P1,0.4689613821877706,2.2424091393491445,0.024934941669136047,0.7057475770448141,0.7202918198946441,0.4713453401906444,Both_up
ANKRD30A,0.5743807897425872,2.018235614310733,0.04356672867048535,0.749597753696573,1.6546141950597317,0.09800278222549792,Both_up
ANKRD30BP1,0.7657934363435938,4.6622239758872315,3.12810481802434e-6,0.5227983290174864,1.3225696512944682,0.18597853235449485,Both_up
ANKRD30BP2,0.7201172258309682,2.389784670417166,0.0168582535224826,0.8075988672621313,1.162371615623802,0.2450845478183366,Both_up
ANKRD40CL,0.37123499516483754,2.191869471414872,0.028388933011026077,0.05000314436769012,0.07658800431063008,0.9389513020960688,Both_up
ANKRD62P1,0.37545740749154227,2.4343988675733987,0.01491654756848292,0.09511885122041076,0.2607185348379271,0.7943095715391877,Both_up
ANKS1B,0.2712167698930417,2.492597290514925,0.012681258345465025,0.18579337006032814,0.7843058386281815,0.4328606743515644,Both_up
ANKUB1,0.4860634334310316,2.333087235240341,0.019643567277260063,0.2277293565017534,0.16097553447394863,0.872112669979147,Both_up
ANO4,0.3138338996506368,2.6484158662811206,0.008086997572043666,0.4481400107879648,1.0659184300166202,0.2864605169673449,Both_up
ANOS1,0.25093342089154985,2.1519797720703138,0.03139894756136034,0.07034130316236709,0.33403804885442834,0.7383508472392595,Both_up
ANP32D,0.45043064665443416,2.3329474216241888,0.01965090503966008,0.2038063125577104,0.30152312958437055,0.763015615338233,Both_up
ANXA10,0.457943837901293,2.161509499175779,0.03065600397578935,0.10093746461818164,0.2196689022715123,0.8261290254906217,Both_up
ANXA2P3,0.4467846186024113,1.9998480494626203,0.045516674302489665,1.1071062559544813,0.8068265660315135,0.41976641126512126,Both_up
AP1M2,0.29549348135647646,2.0821378800265267,0.03732987740301075,0.010623684755103805,0.02663825570422591,0.9787482604371918,Both_up
AP2B1P1,0.3371397950631773,2.046027259600335,0.04075368876616594,0.5831574066678079,1.413486692333248,0.15751267149368492,Both_up
AP3S1,-0.22504905681438134,-2.146419925920526,0.03183949098966417,-0.2368271976959526,-1.7155346979915993,0.08624723944876805,Both_down
APPBP2,-0.13066403691453152,-2.1634864224716774,0.030503786911765994,-0.05267235038137623,-0.647745966458952,0.5171492685564152,Both_down
APTR,0.32369572011238723,2.945667638537183,0.003222584675616491,0.012141377686493622,0.09124553606117665,0.9272974932928006,Both_up
AQP9,-0.6229898419871689,-2.442864917506217,0.01457119011203756,-0.14460136673302781,-0.24729554003813273,0.8046795101562345,Both_down
ARGFXP1,0.538591735223843,3.3304824064566474,8.669564207238376e-4,0.3841879817128605,0.6377424945424413,0.5236413185588981,Both_up
ARHGAP29,-0.2377849625201459,-2.172777738847056,0.029797049546354457,-0.04525877544496034,-0.27495861292008744,0.7833480352641192,Both_down
ARHGAP32,0.17988763268038746,2.417035828759543,0.015647476833410317,0.0035498315126412834,0.023624338554834666,0.9811522582077793,Both_up
ARHGEF16,0.34677569494254845,2.722407460772293,0.006480818123637771,0.07956109623505696,0.23896145655727005,0.8111354701932795,Both_up
ARID5A,-0.3654306781046364,-2.811590093379811,0.004929728275135929,-0.3204927727888497,-1.6782657952332392,0.09329522230889295,Both_down
ARL13A,0.44647166360315715,2.9946298284970925,0.0027477808979736403,0.036068701748586014,0.20681572710605853,0.836153773231745,Both_up
ARL2BP,-0.3040940763031361,-2.964739384436098,0.0030293944762682084,-0.1870711435847246,-1.353805556282511,0.1757984205513013,Both_down
ARL3,0.16545152846758718,2.134769727972699,0.032779824159741545,0.12906704006538489,0.8806572795897316,0.37850334581425726,Both_up
ARL6IP5,-0.1767435934617624,-2.032318645192033,0.0421214081042659,-0.08842825030320522,-0.6218100978732694,0.5340667456683362,Both_down
ARPC5,-0.15543801212478187,-2.091770779918645,0.036459025420066515,-0.14648850847028877,-1.1517498486267377,0.24942388171767374,Both_down
ARPP21,0.25880331596075884,2.1136042954894707,0.03454907867315244,0.3740443347688703,0.5890520978845608,0.555826325751877,Both_up
